date,date,symbol,open,high,low,close,Volume USD,Volume BTC,hourly_log_returns,rolling_vol,ewma_vol,ewma_vol_step,positive_directional_movement,negative_directional_movement,atr,positive_directional_indicator,negative_directional_indicator,dx,adx,cross_over,trade_cycle,trade_group,u1,u0,u11,u10,u01,u00,expected_profit,trade_profit,Cumulative_profits,Cumulative_expected_profit
2018-07-05 13:00:00,05-07-18 13:00,BTC/USD,6634.8,6667.0,6582.1,6600.0,5926334.29,894.02,-0.005258875117370698,0.006630094825049812,0.005766911750134024,38.061617550884556,6.199999999999818,0.0,55.81458333333327,0.1888693964391029,0.22217162479937227,8.101923321406968,24.92522912612435,-1,-1.0,25,,,,,,,495.99999936215545,14999,389974,12895.999983416034
2018-07-05 14:00:00,05-07-18 14:00,BTC/USD,6600.0,6612.0,6564.5,6584.1,5115477.07,776.8,-0.0024119974375942216,0.0064371836649658315,0.005673706079808823,37.356248200069274,0.0,0.0,56.24958333333325,0.18740879562070858,0.11963792324387555,22.071843863839437,25.054535008054327,1,1.0,26,,1,,,1,,495.99999936215545,14999,404973,13391.999982778188
2018-07-05 20:00:00,05-07-18 20:00,BTC/USD,6507.9,6522.7,6482.0,6508.0,2313229.61,355.63,1.5365821803003113e-05,0.006508365092147959,0.005789461805797327,37.677817432129004,0.0,22.0,67.0541666666666,0.13453054122910596,0.1488908220965642,5.066760211352636,22.518866997043613,-1,-1.0,27,,,,,,,495.99999936215545,14999,419972,13887.999982140343
2018-07-05 22:00:00,05-07-18 22:00,BTC/USD,6501.0,6543.8,6501.0,6543.6,4274571.79,655.71,0.006531461515547558,0.006509803283169157,0.005730189932970128,37.496070845383336,35.80000000000018,0.0,62.67499999999992,0.1631431990426805,0.16235208084031463,0.24305059128668002,20.88822501158732,1,1.0,28,,,,,,,495.99999936215545,14999,434971,14383.999981502498
2018-07-05 23:00:00,05-07-18 23:00,BTC/USD,6543.6,6558.1,6530.0,6531.7,4273995.77,653.43,-0.0018202264247266812,0.006509516511738713,0.005625844133548158,36.7463261270965,0.0,29.0,62.33749999999994,0.16402646881892913,0.1814116703428922,5.032797352992613,20.13756614172348,-1,-1.0,29,,1,,,1,,495.99999936215545,14999,449970,14879.999980864653
2018-07-08 23:00:00,08-07-18 23:00,BTC/USD,6750.0,6750.0,6669.9,6707.0,8521089.09,1270.53,-0.0063907477668382695,0.006377473434452498,0.004388336688957518,29.432574172838073,0.0,0.0,30.0691666666667,0.08894770390488656,0.28829365629243686,52.843079635615396,25.709409287662726,-1,-1.0,30,1,,,1,,,495.99999936215545,14999,464969,15375.999980226808
2018-07-09 07:00:00,09-07-18 07:00,BTC/USD,6708.5,6737.5,6703.94,6723.5,2380350.31,354.21,0.00223347323339822,0.0063400429544375105,0.0038188238618618794,25.675862235228347,17.6899999999996,0.0,26.588750000000044,0.12229483020701085,0.11032234811088718,5.146860684451216,20.28874824894838,1,1.0,31,,1,,,,1,495.99999936215545,14999,479968,15871.999979588963
2018-07-10 22:00:00,10-07-18 22:00,BTC/USD,6371.9,6382.0,6356.0,6367.92,2512363.93,394.49,-0.0006248126157950725,0.005226811921181977,0.005138908066006402,32.72415545168349,0.0,0.0,47.68000000000003,0.07340604026845712,0.10224412751677767,16.41791044776029,25.03820752132567,-1,-1.0,32,,1,,,,,495.99999936215545,14999,494967,16367.999978951118
2018-07-11 00:00:00,11-07-18 00:00,BTC/USD,6301.8,6398.8,6287.3,6385.0,11657881.09,1832.93,0.013116182609854862,0.005312609528498381,0.00598228830660498,38.196910837672796,30.800000000000182,0.0,51.21750000000005,0.09339255788223505,0.07769154423130033,9.177365668094144,22.615264317413704,1,1.0,33,,,,,,,495.99999936215545,14999,509966,16863.999978313273
2018-07-11 01:00:00,11-07-18 01:00,BTC/USD,6385.0,6392.6,6350.4,6367.1,2365874.79,371.4,-0.002807382588972042,0.005312644510811074,0.005875396306592991,37.40923582370824,0.0,63.099999999999454,51.880000000000074,0.09219994859933253,0.11862310460035877,12.533333333332507,21.613178709769898,-1,-1.0,34,,1,,,,1,495.99999936215545,14999,524965,17359.99997767543
2018-07-12 23:00:00,12-07-18 23:00,BTC/USD,6153.9,6275.0,6079.9,6249.0,21645104.21,3500.34,0.01533542377288093,0.0048473372385306555,0.0050880408557844115,31.79516730779679,105.80000000000018,0.0,44.866250000000036,0.14450357079839088,0.09285004504128047,21.76226621801353,48.41398306498829,1,1.0,35,,,,,,,495.99999936215545,14999,539964,17855.999977037587
2018-07-13 00:00:00,13-07-18 00:00,BTC/USD,6249.0,6283.0,6220.0,6240.6,8208894.95,1313.63,-0.0013451193419391858,0.004847762493681339,0.0049917243361340055,31.151354892077876,0.0,140.10000000000036,46.26208333333337,0.14014356609534384,0.21623179529672484,21.350586332390144,47.660796457448164,-1,-1.0,36,1,,,1,,,495.99999936215545,14999,554963,18351.999976399744
2018-07-13 12:00:00,13-07-18 12:00,BTC/USD,6244.6,6286.8,6244.5,6270.0,4543341.47,724.69,0.004059264359649447,0.004833202969643178,0.004112016021512103,25.782340454880888,37.0,0.0,32.72916666666671,0.27803946530871976,0.25779758115849744,3.777619387027719,34.16100382652084,1,1.0,37,,1,,,,1,495.99999936215545,14999,569962,18847.9999757619
2018-07-13 15:00:00,13-07-18 15:00,BTC/USD,6245.7,6267.6,6245.7,6265.3,5151158.04,823.01,0.0031332453096954635,0.0048438689979969415,0.00402545475028573,25.220681646965183,0.0,13.199999999999818,33.02083333333341,0.25463722397476307,0.26157728706624456,1.344414568564922,24.538273624419592,-1,-1.0,38,1,,,1,,,495.99999936215545,14999,584961,19343.999975124058
2018-07-19 18:00:00,19-07-18 18:00,BTC/USD,7427.0,7452.0,7410.6,7419.93,4753534.76,639.75,-0.000952385514634477,0.006232770874493585,0.0070390690059415105,52.229399289255596,0.0,35.600000000000364,64.60000000000002,0.14783281733746173,0.2126547987616103,17.981749865807785,21.016545623099173,-1,-1.0,39,1,,,1,,,495.99999936215545,14999,599960,19839.999974486214
2018-07-23 01:00:00,23-07-18 01:00,BTC/USD,7465.2,7519.8,7450.1,7519.7,12064323.75,1613.47,0.007274021222118364,0.006160884248322591,0.005768474022049288,43.377194103604026,0.0,76.10000000000036,54.17374999999996,0.19468992516363195,0.18074559480683378,3.7141745026936004,21.01863978707252,1,1.0,40,1,,1,,,,495.99999936215545,14999,614959,20335.99997384837
2018-07-25 17:00:00,25-07-18 17:00,BTC/USD,8180.0,8180.1,8114.0,8130.0,7560919.94,928.53,-0.006131227054936408,0.006688481802539447,0.005828142689060593,47.38280006206262,0.0,24.0,86.58833333333355,0.14566050083729523,0.16077993571112262,4.933890267265202,32.087059854158355,-1,-1.0,41,,,,,,,495.99999936215545,14999,629958,20831.999973210528
2018-07-25 18:00:00,25-07-18 18:00,BTC/USD,8130.0,8140.0,8080.0,8080.0,6752271.59,832.79,-0.00616905102671524,0.006695914222695209,0.0058466181715075005,47.2406748257806,0.0,0.0,86.21083333333358,0.1462983190434303,0.13845901037185906,2.752978716182018,30.956297515161413,1,1.0,42,1,,,,,,495.99999936215545,14999,644957,21327.999972572685
2018-07-25 20:00:00,25-07-18 20:00,BTC/USD,8167.4,8195.0,8137.0,8191.3,3947821.86,483.66,0.002921994657882682,0.006725602763583765,0.0060118594054215544,49.24494394762958,0.0,57.100000000000364,86.13583333333361,0.14487776090090218,0.1662006714201401,6.854512657834166,27.681678055615667,-1,-1.0,43,,,,,,,495.99999936215545,14999,659956,21823.99997193484
2018-07-25 21:00:00,25-07-18 21:00,BTC/USD,8191.3,8331.8,8191.3,8288.9,17373898.42,2103.1,0.011844654927761579,0.0067615403192307424,0.006301963132637691,52.236342210120554,136.79999999999927,0.0,89.15250000000022,0.20391090173205004,0.15314582690707845,14.217649676692979,26.537536803837792,1,1.0,44,,,,,,,495.99999936215545,14999,674955,22319.999971297
2018-07-25 22:00:00,25-07-18 22:00,BTC/USD,8288.9,8329.8,8257.8,8266.9,4161153.91,502.16,-0.0026576804442332205,0.0067614793090441366,0.006216407824270709,51.390421842463525,0.0,66.49999999999909,88.59416666666682,0.17011089894932807,0.1853865472707941,4.296978356352923,24.666967798487814,-1,-1.0,45,,1,,,,1,495.99999936215545,14999,689954,22815.999970659155
2018-08-10 12:00:00,10-08-18 12:00,BTC/USD,6329.9,6537.0,6308.8,6504.2,19597955.59,3031.71,0.027163683837242818,0.006807326258908665,0.008976655429670785,58.38596224566472,147.0,0.0,86.58208333333339,0.21790497456652488,0.217760602896096,0.03313818623672881,26.86594823750831,1,1.0,46,,,,,,,495.99999936215545,14999,704953,23311.999970021312
2018-08-10 13:00:00,10-08-18 13:00,BTC/USD,6504.2,6520.0,6473.3,6484.8,8024650.39,1236.17,-0.002987145188324388,0.006788354595445501,0.008820976161556766,57.202266212463314,0.0,164.5,77.36958333333337,0.17147134694405172,0.33227958877035046,31.922172332691755,26.515351937232627,-1,-1.0,47,,1,,,,1,495.99999936215545,14999,719952,23807.99996938347
2018-08-11 17:00:00,11-08-18 17:00,BTC/USD,6118.0,6499.5,6118.0,6448.0,45019027.13,7082.5,0.05253475947561555,0.007970229796694935,0.013102883880953263,84.48739526438663,331.39999999999964,0.0,94.75874999999989,0.24641084156696252,0.10816943026369569,38.987338632671786,24.103946868277998,1,1.0,48,,1,,,,1,495.99999936215545,14999,734951,24303.999968745626
2018-08-14 04:00:00,14-08-18 04:00,BTC/USD,5975.3,6018.8,5953.8,5987.0,8113961.84,1355.71,0.0019561461810595616,0.00839860911902704,0.00916347915514333,54.86174970184311,0.0,64.80000000000018,88.91499999999996,0.1530019306828624,0.16153067536411134,2.711561382598026,23.589283122537555,-1,-1.0,49,,1,,,1,,495.99999936215545,14999,749950,24799.999968107782
2018-08-23 01:00:00,23-08-18 01:00,BTC/USD,6423.9,6430.2,6409.0,6416.6,2653926.03,413.57,-0.0011370274968220942,0.007916359303462241,0.009910786445577512,63.593552306692665,0.0,59.0,70.12416666666665,0.08713116020392365,0.26525567742932243,50.54800526085075,22.645673793030824,-1,-1.0,50,,1,,,1,,495.99999936215545,14999,764949,25295.99996746994
2018-08-26 08:00:00,26-08-18 08:00,BTC/USD,6643.6,6665.0,6625.7,6632.0,4063271.32,611.45,-0.0017475674097129099,0.0066593170729174235,0.004630082456676263,30.70670685267698,0.0,25.899999999999636,43.190833333333295,0.12994655501746208,0.15996835748326302,10.355384001064746,26.93538305262214,-1,-1.0,51,1,,1,,,,495.99999936215545,14999,779948,25791.999966832096
2018-08-26 11:00:00,26-08-18 11:00,BTC/USD,6667.9,6719.0,6667.9,6703.6,3297878.15,492.5,0.00533972775308994,0.006646981448463532,0.004584806709164166,30.734710255552905,41.600000000000364,0.0,45.074166666666656,0.17545157055963423,0.16003253896356168,4.596054226826637,22.71057177328484,1,1.0,52,,1,,,1,,495.99999936215545,14999,794947,26287.999966194253
2018-08-29 17:00:00,29-08-18 17:00,BTC/USD,6995.9,7025.0,6995.4,7020.6,6397093.76,912.14,0.0035244212988516407,0.0061560979495390794,0.004582481209639214,32.171767580393066,0.0,58.599999999999454,45.53624999999973,0.14969758525716895,0.18280307813372132,9.956519346138359,24.645198623773172,-1,-1.0,53,,,,,,,495.99999936215545,14999,809946,26783.99996555641
2018-08-29 18:00:00,29-08-18 18:00,BTC/USD,7020.6,7021.1,6985.1,7017.9,3849593.59,549.78,-0.00038465648513619086,0.006155108417817466,0.004493437271542581,31.53449342795868,0.0,0.0,45.60291666666641,0.14947874313594908,0.1395744058768164,3.42647616639363,23.67906334905597,1,1.0,54,,,,,,,495.99999936215545,14999,824945,27279.999964918567
2018-08-29 19:00:00,29-08-18 19:00,BTC/USD,7017.9,7025.0,6995.92,7006.4,1976214.82,281.68,-0.0016400109206973167,0.006155625262625574,0.004419559544408226,30.965201991941793,0.0,10.819999999999709,44.27708333333309,0.11631299110713965,0.15393591492965608,13.921582282887718,22.97643914038517,-1,-1.0,55,,,,,,,495.99999936215545,14999,839944,27775.999964280723
2018-08-29 20:00:00,29-08-18 20:00,BTC/USD,7006.4,7061.3,6996.9,7044.3,7527459.05,1069.67,0.005394762099877942,0.0059495085172307435,0.004452462597074578,31.364482272572452,36.30000000000018,0.0,44.86041666666646,0.1485162309014092,0.1342869084660742,5.031529164478254,22.024944946232566,1,1.0,56,,,,,,,495.99999936215545,14999,854943,28271.99996364288
2018-08-29 21:00:00,29-08-18 21:00,BTC/USD,7044.3,7070.0,7034.5,7060.7,3864767.12,548.05,0.002325417566868627,0.005932725019839238,0.004381355928543552,30.935439804667457,0.0,37.600000000000364,44.53124999999981,0.1496140350877213,0.1704608187134496,6.513096351729715,21.135182718215436,-1,-1.0,57,,1,,,,1,495.99999936215545,14999,869942,28767.999963005037
2018-08-31 07:00:00,31-08-18 07:00,BTC/USD,6995.0,7000.0,6960.0,6963.62,5456232.65,782.21,-0.004496154041482047,0.005840741759212251,0.004474246654646908,31.1569534892323,0.8999999999996362,0.0,51.51749999999996,0.20687145144853686,0.1976674592775916,2.275180934863476,36.08895411021738,1,1.0,58,,1,,,1,,495.99999936215545,14999,884941,29263.999962367194
2018-09-03 09:00:00,03-09-18 09:00,BTC/USD,7260.1,7260.2,7220.0,7226.5,8713361.53,1204.58,-0.0046387779397662875,0.004208738282542388,0.0039516855669559274,28.55685574960701,0.0,0.0,47.853750000000026,0.14687981610636533,0.1480117371505191,0.3838431557813182,36.19152456916968,-1,-1.0,59,1,,,,,,495.99999936215545,14999,899940,29759.99996172935
2018-09-03 12:00:00,03-09-18 12:00,BTC/USD,7236.0,7277.8,7236.0,7258.8,2681969.72,369.69,0.003145958385683068,0.004211567118123892,0.003817286936949292,27.70892241792752,28.800000000000182,0.0,44.353750000000026,0.18552546289772537,0.16532799744478546,5.756667023669283,28.649932276527085,1,1.0,60,1,,1,,,,495.99999936215545,14999,914939,30255.999961091507
2018-09-07 10:00:00,07-09-18 10:00,BTC/USD,6460.9,6460.9,6322.8,6365.8,25645208.36,4032.16,-0.014828715511898263,0.005845594434979186,0.007698309400193689,49.00589797975299,0.0,0.0,53.60708333333332,0.18094623689344483,0.17110611937166292,2.7950721949924833,31.969079379928317,1,1.0,61,1,,,,,,495.99999936215545,14999,929938,30751.999960453664
2018-09-07 13:00:00,07-09-18 13:00,BTC/USD,6433.0,6459.0,6425.1,6444.26,3230577.95,501.43,0.001748819682101822,0.005790871184513301,0.007606005007743171,49.015073831199004,0.0,55.400000000000546,52.20833333333329,0.17302474062250553,0.2179888268156429,11.4993672694618,27.230042678228585,-1,-1.0,62,,,,,,,495.99999936215545,14999,944937,31247.99995981582
2018-09-07 14:00:00,07-09-18 14:00,BTC/USD,6444.26,6485.9,6406.4,6415.0,7342651.05,1138.0,-0.004550814043365328,0.0057947912495061185,0.007488451549304788,48.03841668879022,26.899999999999636,0.0,52.60458333333327,0.19302817403426445,0.16398285954170733,8.13569099017112,26.018491198269604,1,1.0,63,,1,,,1,,495.99999936215545,14999,959936,31743.999959177978
2018-09-08 21:00:00,08-09-18 21:00,BTC/USD,6176.2,6191.0,6174.9,6187.0,3962160.05,640.96,0.0017471209310191574,0.006016693420034784,0.006694486186982893,41.41878603886316,0.0,55.399999999999636,47.31916666666666,0.12206998573516732,0.15365514326470872,11.455306102896264,24.664903444565642,-1,-1.0,64,,1,,,1,,495.99999936215545,14999,974935,32239.999958540135
2018-09-09 09:00:00,09-09-18 09:00,BTC/USD,6193.9,6447.8,6188.1,6387.1,17185625.73,2704.28,0.030715394495200662,0.006334143137991624,0.008348968811392405,53.325698695244434,247.80000000000018,0.0,56.4775,0.23298363655142917,0.15146149646614382,21.205142966801187,23.019509275159383,1,1.0,65,,,,,,,495.99999936215545,14999,989934,32735.99995790229
2018-09-09 10:00:00,09-09-18 10:00,BTC/USD,6387.1,6408.0,6356.8,6369.35,4698909.99,736.46,-0.0027829076985393607,0.006334812561546217,0.008205633914356364,52.264554372405705,0.0,168.69999999999982,57.810833333333335,0.22761016533809994,0.26206160898332165,7.035619664409676,22.172650711872212,-1,-1.0,66,1,,1,,,,495.99999936215545,14999,1004933,33231.999957264445
2018-09-12 20:00:00,12-09-18 20:00,BTC/USD,6322.3,6322.3,6307.0,6315.8,1286523.93,203.84,-0.0010286357242200994,0.006223497821857346,0.0037526930253027604,23.701258609207176,0.0,5.699999999999818,36.15833333333342,0.20373357916570717,0.201866789582852,0.46025342349045684,45.48029343903291,1,1.0,67,,,,,,,495.99999936215545,14999,1019932,33727.9999566266
2018-09-12 21:00:00,12-09-18 21:00,BTC/USD,6315.8,6339.4,6307.8,6309.6,1509985.21,238.7,-0.000982147179239235,0.0062234960655528845,0.0036854231559899286,23.253545945034055,17.099999999999454,0.0,34.39166666666673,0.18403198449236766,0.21223649139810885,7.11752476458323,44.801974928148375,-1,-1.0,68,,,,,,,495.99999936215545,14999,1034931,34223.99995598875
2018-09-12 22:00:00,12-09-18 22:00,BTC/USD,6309.6,6347.1,6309.6,6347.0,1256289.71,198.5,0.0059099772226888225,0.006237524355480378,0.003785800412276951,24.02847521672181,7.700000000000728,0.0,34.603750000000026,0.19217570350034455,0.15375260388445314,11.107243551812312,43.9181890383515,1,1.0,69,,1,,,1,,495.99999936215545,14999,1049930,34719.999955350904
2018-09-14 13:00:00,14-09-18 13:00,BTC/USD,6468.8,6474.0,6414.4,6450.3,5703854.53,884.94,-0.0028639785504135174,0.0064522251829406295,0.005178341346260759,33.40185518578578,1.0,0.0,44.75375000000008,0.17735943915314326,0.1998622089396594,5.965397240664218,25.033012573002537,-1,-1.0,70,,,,,,,495.99999936215545,14999,1064929,35215.99995471306
2018-09-14 14:00:00,14-09-18 14:00,BTC/USD,6450.3,6453.4,6430.2,6450.1,3463626.28,537.38,-3.100679048959169e-05,0.006452285792478352,0.0050758579100453755,32.73979110558368,0.0,15.800000000000182,44.47041666666674,0.17848944523044316,0.1784613366563905,0.007874635798270043,23.66343134425955,1,1.0,71,1,,1,,,,495.99999936215545,14999,1079928,35711.99995407521
